x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-5.282869140132372e-06,-1.422172369789036e-06,3051598528.701568,-57194649421.24347,23570079685.253555,104375798725.7123,143270377839.12723,-37116018561.174446,-141185143959.0568,175899004628.3952,-733487313356.1837,-234444285666.18384,-1359877280196.6145,-378151135633.6756,-1081468626673.1195,-2626158263304.354,-3128193391587.9727,3295255235156.348
-5.428596625748187e-06,-1.4614028684576495e-06,3051603310.8996086,-57194649166.09077,23570076268.293205,104375799497.32811,143270378586.21243,-37116015677.374054,-141185145840.8592,175899003117.96854,-733487312958.5646,-234444286910.18344,-1359877279938.3474,-378151136562.43506,-1081468626043.423,-2626158263563.667,-3128193391981.7847,3295255234782.5015
-5.576306798298626e-06,-1.5011671153235847e-06,3051608093.0976276,-57194648910.93766,23570072851.33283,104375800268.9438,143270379333.29758,-37116012793.57365,-141185147722.66156,175899001607.54184,-733487312560.9454,-234444288154.18304,-1359877279680.0803,-378151137491.1945,-1081468625413.7264,-2626158263822.98,-3128193392375.5967,3295255234408.655
-5.725999657785181e-06,-1.5414651103845899e-06,3051612875.295625,-57194648655.78416,23570069434.372425,104375801040.55939,143270380080.38266,-37116009909.773224,-141185149604.46393,175899000097.11514,-733487312163.3263,-234444289398.18265,-1359877279421.8132,-378151138419.954,-1081468624784.0299,-2626158264082.293,-3128193392769.4087,3295255234034.808
-5.87767520420934e-06,-1.582296853638413e-06,3051617657.4936013,-57194648400.63025,23570066017.412,104375801812.17485,143270380827.46768,-37116007025.972786,-141185151486.26627,175898998586.68842,-733487311765.7072,-234444290642.18225,-1359877279163.5461,-378151139348.71344,-1081468624154.3334,-2626158264341.606,-3128193393163.2207,3295255233660.9614
-6.031333437572594e-06,-1.6236623450828022e-06,3051622439.691556,-57194648145.47594,23570062600.451546,104375802583.7902,143270381574.55267,-37116004142.17233,-141185153368.0686,175898997076.26166,-733487311368.088,-234444291886.18185,-1359877278905.279,-378151140277.4729,-1081468623524.6368,-2626158264600.919,-3128193393557.0327,3295255233287.1147
-6.186974357876431e-06,-1.665561584715506e-06,3051627221.889489,-57194647890.32122,23570059183.491066,104375803355.40546,143270382321.6376,-37116001258.371864,-141185155249.8709,175898995565.8349,-733487310970.4689,-234444293130.18146,-1359877278647.012,-378151141206.23236,-1081468622894.9403,-2626158264860.232,-3128193393950.8447,3295255232913.268
-6.344597965122343e-06,-1.7079945725342724e-06,3051632004.087401,-57194647635.16611,23570055766.530563,104375804127.02058,143270383068.72247,-37115998374.57138,-141185157131.67322,175898994055.4081,-733487310572.8497,-234444294374.18106,-1359877278388.7449,-378151142134.9918,-1081468622265.2438,-2626158265119.545,-3128193394344.6567,3295255232539.4214
-6.504204259311819e-06,-1.7509613085368494e-06,3051636786.285291,-57194647380.01059,23570052349.570034,104375804898.6356,143270383815.80728,-37115995490.77088,-141185159013.4755,175898992544.9813,-733487310175.2306,-234444295618.18066,-1359877278130.4778,-378151143063.7513,-1081468621635.5472,-2626158265378.858,-3128193394738.4688,3295255232165.5747
-6.665793240446348e-06,-1.7944617927209854e-06,3051641568.48316,-57194647124.85467,23570048932.609478,104375805670.25052,143270384562.89203,-37115992606.970375,-141185160895.27777,175898991034.55447,-733487309777.6115,-234444296862.18027,-1359877277872.2107,-378151143992.51074,-1081468621005.8507,-2626158265638.171,-3128193395132.281,3295255231791.728
